AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,2,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,4,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,5,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,6,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,7,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,8,0.0001
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,9,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,10,0.0003
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,11,0.0022
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,12,0.8540
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,13,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,14,0.0103
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,15,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,16,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,18,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,21,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,23,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,25,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,27,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,28,0.0001
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,29,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,30,0.0001
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,31,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,35,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,37,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,38,0.0002
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,39,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,42,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,44,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,46,0.0001
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,47,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,48,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,49,0.0019
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,50,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,52,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,53,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,55,0.0000
AXON_Body_2_Video_2019-07-08_065_848x480_redactedAP 415,0000,257.845,169.772,288.875,254.685,57,0.0000
